Total Spend,DM,Digital,Email,Ext. Email,MAGAZINE,OOH,PR,Paid Search,Print,RADIO,TRADE.COOP,TRADE.DMA_OTHER,TV,base_year
5,-0.1,0.037396809,0.2,0.1,0.1,0,0.1,0.1,-0.1,0.2,0.1,-0.1,0.1,2016
10,0.081598969,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,2016
